StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q6,Q5,Q16,Q18,Q17,Q20,Q19,Q21,Q22,Q24,Q23,Q26,Q25,Q27,Q29,Q30,Q28,Q9,Q10,Q11,Q12,Q13_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,How often do you use dating apps?,"Some people follow what's going on in government and public affairs most of the time, whether there's an election going on or not. Others aren't that interested. How often do you follow what's going on in government and public affairs?",Would you feel comfortable displaying your own political ideology on a dating app profile?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Moderate ideology?,Would you be more or less likely to like a profile displaying Conservative ideology?,Would you be more or less likely to like a profile displaying Liberal ideology?,What is your relationship status?,What is your race or ethnicity?,What is your gender identity?,How would you describe your political ideology?,How would you rate your own physical attractiveness on a scale of 1-10? - Physical Attractiveness
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID28""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_1""}"
2021-11-11 17:22:12,2021-11-11 17:23:09,IP Address,65.112.8.20,100,57,True,2021-11-11 17:23:09,R_32JkAeF0IMEaj6d,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Very often,Some of the time,Yes,,,,Somewhat less likely,Unchanged,Unchanged,,,,,,,,,,,,,Single,White,Male,Very Liberal,8
2021-11-11 17:25:09,2021-11-11 17:27:01,IP Address,65.112.8.27,100,112,True,2021-11-11 17:27:01,R_1QMk3ZuZfdzRHOd,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,Somewhat less likely,Unchanged,Somewhat more likely,,,,,,,,,,,,,,,,In an exclusive relationship,White,Male,Somewhat Liberal,10
2021-11-11 17:28:00,2021-11-11 17:28:47,IP Address,65.112.8.61,100,47,True,2021-11-11 17:28:47,R_2Ec4cr0EfVjo0q4,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Most of the time,Yes,,,,,,,Somewhat more likely,Somewhat less likely,Somewhat more likely,,,,,,,,,,Single,White,Female,Moderate,8
2021-11-11 17:27:54,2021-11-11 17:29:03,IP Address,65.112.8.21,100,68,True,2021-11-11 17:29:04,R_3hgUX0yv8l0RHYC,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Very often,Hardly at all,Yes,,,,,,,,,,,,,Much less likely,Much more likely,Much less likely,,,,Single,Hispanic,Male,Very Liberal,6
2021-11-11 17:28:11,2021-11-11 17:29:34,IP Address,172.58.220.29,100,83,True,2021-11-11 17:29:35,R_1E9Tn9bsq6Zfe3J,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,0.89999997615814208984375,Rarely,Hardly at all,Yes,,,,,,,,,,,,,,,,Somewhat less likely,Much less likely,Much more likely,In an exclusive relationship,Asian/Pacific Islander,Female,Very Liberal,6.1
2021-11-11 17:29:39,2021-11-11 17:30:47,IP Address,65.112.8.25,100,68,True,2021-11-11 17:30:48,R_1ONMow9IDFaEuRY,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,Yes,,,,,,,,,,,,,,,,Unchanged,Much less likely,Unchanged,Single,Asian/Pacific Islander,Female,Somewhat Liberal,
2021-11-11 17:29:26,2021-11-11 17:30:59,IP Address,65.112.8.27,100,93,True,2021-11-11 17:31:00,R_1jeQvDnxe6gtm3n,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,No,,,,,,,,,,Much less likely,,Much more likely,,,,,,,Single,White,Female,Somewhat Conservative,8
2021-11-11 17:32:08,2021-11-11 17:32:54,IP Address,98.32.149.182,100,45,True,2021-11-11 17:32:54,R_3kiBcb8wxHz3WD6,,,,,41.81829833984375,-87.6094970703125,anonymous,EN,1,Rarely,Most of the time,No,,,,,,,,,,,,,Somewhat more likely,Much less likely,Much more likely,,,,Single,Hispanic,Male,Very Conservative,3
2021-11-11 17:28:54,2021-11-11 17:33:25,IP Address,65.112.8.61,100,271,True,2021-11-11 17:33:25,R_3D5C3U0QCTWrZvn,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,,,,Somewhat less likely,Somewhat less likely,Somewhat less likely,,,,,,,,,,,,,In an exclusive relationship,Other,Female,Somewhat Liberal,8
2021-11-11 17:31:16,2021-11-11 17:33:53,IP Address,65.112.8.21,100,157,True,2021-11-11 17:33:53,R_1lzzCtLZtCrqDh8,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Never,Only now and then,No,Unchanged,Unchanged,Unchanged,,,,,,,,,,,,,,,,Single,White,Male,Moderate,6.4
2021-11-11 17:33:50,2021-11-11 17:34:25,IP Address,98.32.149.182,100,35,True,2021-11-11 17:34:26,R_6XTuQWh4Bxh19pn,,,,,41.81829833984375,-87.6094970703125,anonymous,EN,1,Very often,Most of the time,Yes,,,,,,,,,,,,,,,,Somewhat more likely,Much more likely,Much less likely,In an exclusive relationship,Black or African American,Male,Very Conservative,8.5
2021-11-11 17:33:45,2021-11-11 17:34:37,IP Address,65.112.8.23,100,51,True,2021-11-11 17:34:37,R_3jfetuZv0W6QAWU,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,Yes,,,,,,,,,,,,,Much less likely,Much less likely,Much more likely,,,,In an exclusive relationship,White,Male,Very Conservative,7.5
2021-11-11 17:34:40,2021-11-11 17:35:15,IP Address,65.112.8.49,100,34,True,2021-11-11 17:35:16,R_BqZ5IyzE8jIwOWZ,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Most of the time,Yes,Somewhat more likely,Somewhat more likely,Unchanged,,,,,,,,,,,,,,,,In an exclusive relationship,White,Male,Somewhat Conservative,
2021-11-11 17:35:27,2021-11-11 17:36:19,IP Address,65.112.8.26,100,52,True,2021-11-11 17:36:19,R_2AFGEfYK0HAEtNQ,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Only now and then,Yes,,,,,,,,,,Much more likely,Unchanged,Much less likely,,,,,,,In an exclusive relationship,White,Female,Somewhat Liberal,7
2021-11-11 17:36:20,2021-11-11 17:36:51,IP Address,65.112.8.17,100,30,True,2021-11-11 17:36:51,R_1plgtG1vToRiHp1,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-11 17:35:46,2021-11-11 17:37:16,IP Address,65.112.8.58,100,90,True,2021-11-11 17:37:16,R_ZBQQFxWm4DSKq89,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Rarely,Some of the time,No,,,,,,,,,,Somewhat less likely,Somewhat more likely,Somewhat more likely,,,,,,,Single,,,,7.6
2021-11-11 17:35:54,2021-11-11 17:37:28,IP Address,65.112.8.53,100,93,True,2021-11-11 17:37:28,R_3DuK6kEdxoMKSUk,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,Yes,,,,Much less likely,Much more likely,Somewhat less likely,,,,,,,,,,,,,In an exclusive relationship,White,Male,Very Liberal,6
2021-11-11 17:36:20,2021-11-11 17:37:28,IP Address,174.196.199.92,100,67,True,2021-11-11 17:37:28,R_1FR3esNgk9UuK2n,,,,,42.33880615234375,-71.072601318359375,anonymous,EN,0.89999997615814208984375,Never,Some of the time,No,,,,Much less likely,Somewhat more likely,Somewhat less likely,,,,,,,,,,,,,Single,White,Female,Very Liberal,7.6
2021-11-11 17:38:10,2021-11-11 17:39:01,IP Address,65.112.8.55,100,50,True,2021-11-11 17:39:01,R_Z2wYBpnLFAESpNv,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Some of the time,No,,,,,,,Much more likely,Somewhat less likely,Somewhat more likely,,,,,,,,,,Single,White,Male,Somewhat Liberal,10
2021-11-11 17:38:14,2021-11-11 17:39:08,IP Address,65.112.8.16,100,54,True,2021-11-11 17:39:08,R_3hDYDzdimxAHjoS,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Sometimes,Hardly at all,No,,,,,,,,,,,,,Somewhat more likely,Somewhat less likely,Somewhat less likely,,,,In an exclusive relationship,White,Male,Moderate,7.9
2021-11-11 17:38:15,2021-11-11 17:39:33,IP Address,65.112.8.19,100,77,True,2021-11-11 17:39:33,R_XBwHMJRkucBuOOJ,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Never,Most of the time,Yes,,,,,,,,,,,,,Unchanged,Unchanged,Much less likely,,,,In an exclusive relationship,Black or African American,Female,Somewhat Liberal,8
2021-11-11 17:39:01,2021-11-11 17:39:51,IP Address,65.112.8.27,100,49,True,2021-11-11 17:39:51,R_1rqwlE25XFrieAw,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Rarely,Some of the time,Yes,,,,,,,,,,Much more likely,Unchanged,Much less likely,,,,,,,Single,White,Female,Very Liberal,10
2021-11-11 17:39:05,2021-11-11 17:39:55,IP Address,104.53.11.90,100,50,True,2021-11-11 17:39:56,R_3Gxmz2jWEN18E8V,,,,,29.743804931640625,-95.44219970703125,anonymous,EN,0.89999997615814208984375,Never,Most of the time,No,,,,,,,,,,,,,,,,Somewhat more likely,Unchanged,Unchanged,Single,White,Male,Moderate,7
2021-11-11 17:39:22,2021-11-11 17:40:12,IP Address,65.112.8.23,100,49,True,2021-11-11 17:40:12,R_3isSj9xw5JGO7rH,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Never,Only now and then,Yes,,,,Much less likely,Much more likely,Somewhat more likely,,,,,,,,,,,,,Single,Hispanic,Female,Very Liberal,1
2021-11-11 17:39:29,2021-11-11 17:40:29,IP Address,65.112.8.19,100,59,True,2021-11-11 17:40:29,R_24MCEJw1l5CAl1Z,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,0.89999997615814208984375,Very often,Only now and then,No,,,,,,,Somewhat more likely,Much less likely,Somewhat more likely,,,,,,,,,,In an exclusive relationship,Hispanic,Female,Very Liberal,7.1
2021-11-11 17:38:43,2021-11-11 17:40:48,IP Address,65.112.8.49,100,124,True,2021-11-11 17:40:48,R_2ah452lH40kIa16,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,1,Sometimes,Some of the time,No,Much less likely,Unchanged,Much more likely,,,,,,,,,,,,,,,,Single,White,Female,Somewhat Liberal,8
2021-11-11 17:40:05,2021-11-11 17:41:02,IP Address,24.63.250.94,100,57,True,2021-11-11 17:41:03,R_3EccNZc2l2AIVYk,,,,,42.364898681640625,-71.09870147705078125,anonymous,EN,0.89999997615814208984375,Very often,Some of the time,Yes,Much less likely,Unchanged,Somewhat more likely,,,,,,,,,,,,,,,,Single,Other,Male,Somewhat Liberal,7
